tool_id,tool_name,directory,event_type,version,old_version,change_type,commit_hash,commit_date,commit_message
picard_artifact_metrics,Picard Collect Sequencing Artifact Metrics,picard,new,2.18.2.2,,initial,0244aa33464cc27d1ce881cb310b8eda36e9a89c,2022-08-22T09:30:47+00:00,picard: implement missing parameters (#4737)
td,TD:,fsd,update,1.0.3,1.0.2,wrapper,156062d2b1ec95a0ab32c618046557ffbcf0c8f7,2022-08-22T09:31:26+00:00,fsd-td: remove unused nproc param (#4731)
annotatemyids,annotateMyIDs,annotatemyids,update,3.14.0+galaxy1,3.14.0+galaxy0,wrapper,51ddff87570ce0924bcb9f66fee83e51280acdea,2022-08-23T21:36:42+00:00,Annotatemyids update:  add Gallus gallus option (#4742)
gubbins,Gubbins,gubbins,new,3.2.1+galaxy0,,initial,d55207b02be0d64287be1629fb28056d31a98823,2022-08-24T07:22:17+00:00,Gubbins: update v.3.2.1 (#4745)
datasets_download_genome,NCBI Datasets Genomes,ncbi_datasets,update,13.35.0+galaxy0,13.24.1+galaxy1,upstream,baddca770f8ae8475785374d883b3b42fac27c0c,2022-08-24T12:37:31+00:00,Merge pull request #4749 from bernt-matthias/topic/bump-ncbi-datasets
pyega3,EGA Download Client,pyega3,update,4.0.5+galaxy0,4.0.0+galaxy1,upstream,a5bdaf88964255a2aee51fe3ab23cdcb0c457199,2022-08-24T17:38:29+00:00,Topic/pyega3 bump (#4748)
rpbasicdesign,BasicDesign,rpbasicdesign,update,1.1.1+galaxy0,1.1.0+galaxy0,upstream,898ac06e2ed0eb12b86d62fe957ebcf7d06dc8a3,2022-08-24T17:38:52+00:00,rpbasicdesign: bump (#4747)
gatk4_mutect2,GATK4 Mutect2,gatk4,update,4.1.7.0+galaxy1+galaxy1,4.1.7.0+galaxy1,wrapper,301f94b20e29da22d5f4502c44344f4a0115930d,2022-08-24T17:40:22+00:00,gatk4: add missing and remove nonexistent parameters (#4738)
raceid_clustering,Clustering using RaceID,raceid,update,0.2.3+galaxy3,0.2.3+galaxy2,wrapper,82a18e57158136e265a26f27feb40f8dc13437bf,2022-08-24T17:43:39+00:00,raceid clustering: remove unused parameter (#4736)
raceid_filtnormconf,Initial processing using RaceID,raceid,update,0.2.3+galaxy3,0.2.3+galaxy2,wrapper,82a18e57158136e265a26f27feb40f8dc13437bf,2022-08-24T17:43:39+00:00,raceid clustering: remove unused parameter (#4736)
raceid_inspectclusters,Cluster Inspection using RaceID,raceid,update,0.2.3+galaxy3,0.2.3+galaxy2,wrapper,82a18e57158136e265a26f27feb40f8dc13437bf,2022-08-24T17:43:39+00:00,raceid clustering: remove unused parameter (#4736)
raceid_inspecttrajectory,Lineage Branch Analysis using StemID,raceid,update,0.2.3+galaxy3,0.2.3+galaxy2,wrapper,82a18e57158136e265a26f27feb40f8dc13437bf,2022-08-24T17:43:39+00:00,raceid clustering: remove unused parameter (#4736)
raceid_trajectory,Lineage computation using StemID,raceid,update,0.2.3+galaxy3,0.2.3+galaxy2,wrapper,82a18e57158136e265a26f27feb40f8dc13437bf,2022-08-24T17:43:39+00:00,raceid clustering: remove unused parameter (#4736)
telescope_assign,Reassign reads,telescope,update,1.0.3+galaxy1,1.0.3,wrapper,3a6e7428a808860068e7cc07a101aa10a31697b8,2022-08-24T22:13:26+00:00,telescope: disable parallel processing (#4741)
